Order_ID,Date,Month,Year,Category_Type,Category,Category Image,Item_Name,Quantity,Unit_Price_$,Total_Amount_$,Food_Cost_$,Labour_Cost_$,Profit_$,Delivery_Partner,Payment_Mode
O00050,05-01-2025,January,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Mushroom Magic,4,13.08,52.32,16.43,7.16,28.73,Swiggy,UPI
O00051,10-10-2025,October,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Farmhouse,2,12.44,24.88,11.12,3.7,10.06,Swiggy,UPI
O00052,21-01-2025,January,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Veg Cheese Burger,1,9.48,9.48,3.56,1.49,4.43,Swiggy,UPI
O00053,28-07-2025,July,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mango Juice,1,4.98,4.98,1.87,0.78,2.33,Zomato,Card
O00054,13-01-2025,January,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Corn & Mayo Club,4,10.44,41.76,18.42,8.16,15.18,Zomato,UPI
O00055,26-12-2025,December,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Margherita,1,13.7,13.7,6.07,1.82,5.81,In-Store,Card
O00056,24-08-2025,August,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Cheese Mac,4,10.58,42.32,18.11,5.48,18.73,Zomato,Cash
O00057,09-04-2025,April,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Veg Loaded Mac,4,12.81,51.24,19.1,7.03,25.11,Swiggy,UPI
O00058,25-11-2025,November,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,3,8.22,24.66,9.51,2.71,12.44,Swiggy,Cash
O00059,02-04-2025,April,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,2,8.95,17.9,6.05,2.32,9.53,Swiggy,Online
O00060,10-06-2025,June,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Salted Fries,1,12.79,12.79,5.18,1.74,5.87,In-Store,Card
O00061,23-01-2025,January,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,3,8.05,24.15,8.17,3.89,12.09,Zomato,UPI
O00062,05-02-2025,February,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,4,4.03,16.12,6.77,2.66,6.69,Swiggy,UPI
O00063,08-06-2025,June,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,4,7.98,31.92,13.82,3.28,14.82,In-Store,UPI
O00064,07-03-2025,March,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Veggie Paradise,3,14.38,43.14,13.17,6.32,23.65,Zomato,UPI
O00065,08-10-2025,October,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Spicy Club,2,12.87,25.74,11.04,3.22,11.48,Zomato,Online
O00066,07-11-2025,November,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,3,5.52,16.56,5.28,2.52,8.76,In-Store,Online
O00067,20-04-2025,April,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,1,5.08,5.08,1.87,0.94,2.27,Swiggy,UPI
O00068,06-12-2025,December,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,3,6.06,18.18,7.19,3.14,7.85,Zomato,UPI
O00069,12-04-2025,April,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Paneer Delight,2,15.16,30.32,9.28,4.24,16.8,Zomato,Online
O00070,07-02-2025,February,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Cheese Mac,2,11.95,23.9,7.26,4.69,11.95,In-Store,Online
O00071,05-05-2025,May,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Paneer Delight,1,16.96,16.96,5.24,3.25,8.47,In-Store,Card
O00072,23-12-2025,December,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,2,5.2,10.4,4.23,1.73,4.44,Zomato,Cash
O00073,10-03-2025,March,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Cheese Fries,3,13.64,40.92,16.31,5.87,18.74,In-Store,Online
O00074,17-08-2025,August,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Veggie Paradise,2,10.48,20.96,7.41,3.68,9.87,UberEats,Card
O00075,22-05-2025,May,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,1,4.58,4.58,1.44,0.6,2.54,UberEats,Online
O00076,27-05-2025,May,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Spicy Club,4,11.75,47,14.79,7.01,25.2,UberEats,Cash
O00077,19-03-2025,March,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Farmhouse,2,11.73,23.46,9.32,2.46,11.68,Zomato,Cash
O00078,28-07-2025,July,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Loaded Fries,4,13.09,52.36,18.65,8.51,25.2,In-Store,Cash
O00079,04-08-2025,August,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Salted Fries,1,12.85,12.85,5.17,2.08,5.6,In-Store,Online
O00080,30-06-2025,June,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Spicy Mac,4,13.55,54.2,21.02,10.52,22.66,Zomato,Online
O00081,20-05-2025,May,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Classic Mac,4,9.11,36.44,11.63,6.6,18.21,In-Store,UPI
O00082,14-12-2025,December,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Peri Peri Fries,1,11.01,11.01,4.89,2.1,4.02,In-Store,Card
O00083,01-10-2025,October,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Margherita,3,10.69,32.07,11.44,3.33,17.3,Swiggy,Online
O00084,25-08-2025,August,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Corn Supreme,2,13.37,26.74,9.3,4.93,12.51,In-Store,UPI
O00085,21-08-2025,August,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Spicy Mac,1,12.52,12.52,4.69,2.12,5.71,UberEats,Online
O00086,11-02-2025,February,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Aloo Tikki Burger,4,13.49,53.96,22.14,9.73,22.09,UberEats,Card
O00087,05-02-2025,February,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,1,4.89,4.89,1.88,0.77,2.24,Zomato,Card
O00088,15-11-2025,November,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Cheese Chilli,1,11.28,11.28,4.7,1.51,5.07,In-Store,Cash
O00089,22-04-2025,April,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Cheese Fries,1,12.87,12.87,5.17,2.24,5.46,UberEats,Card
O00090,07-11-2025,November,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mango Juice,1,5.89,5.89,2.21,1.08,2.6,UberEats,Cash
O00091,14-01-2025,January,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Loaded Fries,1,13.16,13.16,4.05,2.58,6.53,In-Store,Card
O00092,31-10-2025,October,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,4,5.77,23.08,10.21,4.5,8.37,UberEats,Cash
O00093,22-01-2025,January,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Loaded Fries,1,11.05,11.05,3.47,1.77,5.81,UberEats,Cash
O00094,28-11-2025,November,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Spicy Bean Burger,1,7.7,7.7,3.22,1.38,3.1,In-Store,Cash
O00095,05-07-2025,July,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,3,6.47,19.41,8.72,2.05,8.64,In-Store,Card
O00096,25-09-2025,September,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,3,6.73,20.19,6.41,2.31,11.47,In-Store,Online
O00097,31-10-2025,October,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Cheese Mac,1,10.95,10.95,4.66,1.56,4.73,Swiggy,UPI
O00098,05-05-2025,May,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Loaded Fries,3,9.17,27.51,11.17,2.97,13.37,UberEats,Cash
O00099,16-06-2025,June,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Farmhouse,4,19.87,79.48,34.13,14.95,30.4,UberEats,UPI
O00100,24-05-2025,May,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,1,8.54,8.54,3.53,1.18,3.83,Zomato,Cash
O00101,28-07-2025,July,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Peri Peri Fries,2,12.22,24.44,9.92,3.05,11.47,In-Store,Online
O00102,09-01-2025,January,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Veggie Club Special,1,14.34,14.34,4.33,2.11,7.9,In-Store,Card
O00103,06-12-2025,December,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,1,4.59,4.59,1.94,0.8,1.85,UberEats,Online
O00104,09-10-2025,October,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Spicy Mac,1,7.9,7.9,2.81,1.02,4.07,UberEats,UPI
O00105,29-04-2025,April,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Paneer Tikka,2,12.24,24.48,10.29,4.84,9.35,Swiggy,Card
O00106,21-04-2025,April,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,4,5.61,22.44,8.51,4.47,9.46,UberEats,Cash
O00107,01-06-2025,June,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Veggie Club Special,4,15.54,62.16,19.35,7.25,35.56,UberEats,Cash
O00108,01-10-2025,October,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Triple Cheese Club,1,12.94,12.94,5.1,2.05,5.79,Swiggy,UPI
O00109,06-03-2025,March,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,4,4.23,16.92,7.51,1.79,7.62,Swiggy,UPI
O00110,03-09-2025,September,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Cheese Mac,1,6.85,6.85,2.34,0.81,3.7,Swiggy,UPI
O00111,28-02-2025,February,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Veggie Paradise,2,13.53,27.06,9.2,3.68,14.18,Swiggy,Cash
O00112,18-03-2025,March,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,3,6.27,18.81,7.16,2.46,9.19,Zomato,Cash
O00113,02-08-2025,August,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mixed Fruit Juice,1,7.42,7.42,2.37,0.8,4.25,In-Store,Online
O00114,29-10-2025,October,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Classic Mac,1,9.33,9.33,3.66,1.32,4.35,Swiggy,Card
O00115,19-04-2025,April,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Salted Fries,1,12.93,12.93,4.2,1.82,6.91,Zomato,Card
O00116,10-10-2025,October,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Grilled Veg,3,14.8,44.4,14.32,7.08,23,In-Store,Online
O00117,01-11-2025,November,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Classic Mac,3,13.76,41.28,15.91,4.39,20.98,Zomato,UPI
O00118,25-05-2025,May,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,1,4.67,4.67,1.44,0.87,2.36,Zomato,UPI
O00119,29-10-2025,October,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mixed Fruit Juice,2,9,18,7.87,2.85,7.28,Swiggy,Card
O00120,18-03-2025,March,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Aloo Tikki Burger,3,12.06,36.18,12.2,5.25,18.73,Swiggy,Card
O00121,01-11-2025,November,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,1,8.77,8.77,2.9,1.65,4.22,Swiggy,Online
O00122,05-06-2025,June,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,3,4.23,12.69,4.02,2.12,6.55,In-Store,Online
O00123,03-11-2025,November,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Peppy Paneer,3,17.72,53.16,18.4,9.66,25.1,UberEats,Cash
O00124,28-04-2025,April,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Watermelon Juice,3,4.44,13.32,4.8,1.51,7.01,Swiggy,Card
O00125,23-09-2025,September,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,1,7.78,7.78,3.08,1.4,3.3,Zomato,Online
O00126,09-09-2025,September,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Peppy Paneer,2,16.17,32.34,11.4,5.14,15.8,In-Store,UPI
O00127,10-12-2025,December,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Paneer Tikka,3,14.37,43.11,17.63,6.67,18.81,In-Store,Online
O00128,06-12-2025,December,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Salted Fries,2,13.28,26.56,10.45,4.95,11.16,In-Store,Cash
O00129,10-05-2025,May,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Spicy Bean Burger,4,7.18,28.72,12.24,5.08,11.4,Swiggy,Online
O00130,28-01-2025,January,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Corn & Mayo Club,2,10.46,20.92,7.82,2.78,10.32,In-Store,Cash
O00131,17-05-2025,May,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Watermelon Juice,3,5.2,15.6,5.94,2.28,7.38,In-Store,Online
O00132,15-01-2025,January,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mango Juice,4,6,24,9.51,2.84,11.65,UberEats,Cash
O00133,28-07-2025,July,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Grilled Veg,3,18.97,56.91,21.47,11.23,24.21,In-Store,Cash
O00134,20-03-2025,March,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Cheese Fries,1,7.79,7.79,2.53,1,4.26,UberEats,Online
O00135,30-08-2025,August,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Farmhouse,1,10.89,10.89,4.14,1.48,5.27,In-Store,Card
O00136,18-09-2025,September,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,2,4.64,9.28,3.75,0.96,4.57,UberEats,Online
O00137,17-09-2025,September,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Paneer Burger,3,11.02,33.06,12.46,3.82,16.78,UberEats,Online
O00138,17-08-2025,August,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Hot Chocolate,4,4.01,16.04,6.75,2.8,6.49,UberEats,Online
O00139,14-06-2025,June,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Classic Veg,3,12.09,36.27,15.91,4.48,15.88,Zomato,Online
O00140,12-06-2025,June,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,2,6.66,13.32,5.49,1.38,6.45,In-Store,Card
O00141,19-01-2025,January,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Triple Cheese Club,3,17.13,51.39,21.93,8.99,20.47,In-Store,Cash
O00142,22-08-2025,August,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Classic Veg,2,18.67,37.34,14.19,4.64,18.51,Zomato,Cash
O00143,16-05-2025,May,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Loaded Fries,2,9.02,18.04,6.94,3.32,7.78,Swiggy,UPI
O00144,01-10-2025,October,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Spicy Mac,1,10.28,10.28,4.46,1.64,4.18,Swiggy,Cash
O00145,20-11-2025,November,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,1,7.95,7.95,2.96,1.26,3.73,Swiggy,Online
O00146,21-11-2025,November,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mixed Fruit Juice,4,6.79,27.16,9.91,3.06,14.19,Zomato,UPI
O00147,24-01-2025,January,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Paneer Burger,2,8.9,17.8,6.96,2.21,8.63,UberEats,UPI
O00148,16-03-2025,March,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Farmhouse,1,13.3,13.3,4.46,1.47,7.37,Zomato,Card
O00149,09-11-2025,November,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Peri Peri Fries,4,7.97,31.88,13.63,3.47,14.78,In-Store,Card
O00150,25-08-2025,August,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,1,4.28,4.28,1.34,0.65,2.29,UberEats,Cash
O00151,28-05-2025,May,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,3,8.91,26.73,11.61,4.21,10.91,In-Store,UPI
